tests_total,deaths_total,tests_1M_pop,continent,cases_recovered,cases_total,time,deaths_new,cases_active,population,deaths_1M_pop,cases_new,day,cases_1M_pop,country,cases_critical
1233207,758,164845,Asia,,218958,2024-03-28T13:30:04+00:00,,,7481023,101,,2024-03-28,29268,Laos,
7593848,20286,408622,North-America,1269044,1290854,2024-03-28T13:30:04+00:00,,1524,18584039,1092,,2024-03-28,69460,Guatemala,5
3242901,8777,1091164,Asia,435162,451831,2024-03-28T13:30:04+00:00,,7892,2971966,2953,,2024-03-28,152031,Armenia,
1499795,1937,42818,Africa,103419,107327,2024-03-28T13:30:04+00:00,,1971,35027343,55,,2024-03-28,3064,Angola,
6486117,16897,300619,Asia,655852,672753,2024-03-28T13:30:04+00:00,,4,21575842,783,,2024-03-28,31181,Sri-Lanka,
717784,225,1611437,Asia,243601,343469,2024-03-28T13:30:04+00:00,,99643,445431,505,,2024-03-28,771094,Brunei,3
5565340,7574,46066,Africa,488171,501157,2024-03-28T13:30:04+00:00,,5412,120812698,63,,2024-03-28,4148,Ethiopia,
1062663,4106,403460,Africa,167099,172389,2024-03-28T13:30:04+00:00,,1184,2633874,1559,,2024-03-28,65451,Namibia,
3012408,3632,62198,Africa,100431,172149,2024-03-28T13:30:04+00:00,,68086,48432863,75,,2024-03-28,3554,Uganda,
3091420,3056,180062,Asia,136041,139100,2024-03-28T13:30:04+00:00,,3,17168639,178,,2024-03-28,8102,Cambodia,
2847701,7100,1370382,Europe,1349387,1356515,2024-03-28T13:30:04+00:00,,28,2078034,3417,+4,2024-03-28,652788,Slovenia,
4587145,1232,7140959,Europe,,391232,2024-03-28T13:30:04+00:00,,,642371,1918,,2024-03-28,609044,Luxembourg,
2170600,885,4888375,Europe,120149,121420,2024-03-28T13:30:04+00:00,,386,444033,1993,+2,2024-03-28,273448,Malta,
7748050,10400,752223,Asia,824089,835136,2024-03-28T13:30:04+00:00,,647,10300205,1010,,2024-03-28,81080,Azerbaijan,
1884721,16387,580036,Europe,379084,403603,2024-03-28T13:30:04+00:00,,8132,3249317,5043,,2024-03-28,124212,Bosnia-and-Herzegovina,
2026898,2801,830300,Africa,327049,330635,2024-03-28T13:30:04+00:00,,785,2441162,1147,,2024-03-28,135442,Botswana,1
8455743,2570,1930391,Asia,,667158,2024-03-28T13:30:04+00:00,,,4380326,587,,2024-03-28,152308,Kuwait,
11711514,19495,212061,Asia,620159,641873,2024-03-28T13:30:04+00:00,,2219,55227143,353,,2024-03-28,11622,Myanmar,
1996384,229,5780036,Europe,,209906,2024-03-28T13:30:04+00:00,,,345393,663,,2024-03-28,607731,Iceland,
13001033,16303,344191,Africa,,1278992,2024-03-28T13:30:04+00:00,,,37772756,432,,2024-03-28,33860,Morocco,
4030048,2284,1193000,Asia,1009212,1011496,2024-03-28T13:30:04+00:00,,0,3378078,676,,2024-03-28,299429,Mongolia,
1009957,997,206030,Africa,62471,63848,2024-03-28T13:30:04+00:00,,380,4901981,203,,2024-03-28,13025,Mauritania,
3216305,12218,801437,Europe,,635145,2024-03-28T13:30:04+00:00,,,4013171,3044,,2024-03-28,158265,Moldova,
2226216,9976,1069626,Europe,337068,350567,2024-03-28T13:30:04+00:00,,3523,2081304,4793,,2024-03-28,168436,North-Macedonia,
2525756,5740,164744,Africa,258888,266359,2024-03-28T13:30:04+00:00,,1731,15331428,374,,2024-03-28,17373,Zimbabwe,12
7885792,6711,4265272,Europe,971406,982381,2024-03-28T13:30:04+00:00,,4264,1848837,3630,,2024-03-28,531351,Latvia,
